"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","25","1","12","152","143","0","-39","2017-06-21 18:27:11","9946"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","0","5","0","5","108","59","0","-6","2017-06-21 18:27:11","9947"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","2","0","30","2","5","118","6448","0","-16","2017-06-21 18:27:12","9948"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","0","1","2","1","6","0","0","19","1","5","113","364","0","0","2017-06-21 18:27:14","9949"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","0","6","0","6","108","62","0","-6","2017-06-21 18:27:14","9950"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","26","1","13","152","626","0","-39","2017-06-21 18:27:18","9951"
"AVPKE76DJLWK6
","sp_v3_real2","324G5B4FB39LFA9X794QYR0JPDB07F","1","1","4","2","7","1","0","21","1","8","114","422","0","-3","2017-06-21 18:27:18","9952"
"A335A3K24AK7HK","sp_v3_real2","3L70J4KAZGNXXW8PQO45NPMSKAQAD9","1","1","3","4","7","2","1","46","2","11","80","1827","1","29","2017-06-21 18:27:19","9953"
"AY5OS6NZWVX22","sp_v3_real2","3F0BG9B9MPOIC55IFHFZQJU31QQ7YN","1","0","4","1","5","2","0","10","0","10","76","4792","1","44","2017-06-21 18:27:20","9954"
"A1K8QNLYYYX21W","sp_v3_real2","3YDGXNSEOZV6ECWH0FJYOUMRH9X84Q","0","0","1","1","5","2","1","7","0","7","104","113","1","-8","2017-06-21 18:27:20","9955"
"A13PXTFOXDCKBF","sp_v3_real2","3XIQGXAUMC9TC0F8ALTX75NUZKW7XH","0","1","2","1","6","0","0","20","1","6","113","441","0","0","2017-06-21 18:27:20","9956"
"A3UAO2LYUPO7L6","sp_v3_real2","354P56DE9K4LGJT9GBNA8X62K5U7S9","0","1","2","4","4","1","0","20","1","0","116","8858","0","-4","2017-06-21 18:27:21","9957"
"A3EHI7J2E5DSJK","sp_v3_real2","3WAKVUDHUWH1VWLD5GIANYOQ52F7UP","0","1","4","4","5","2","0","31","2","6","118","1942","0","-16","2017-06-21 18:27:23","9958"
"A2O4RICIH4QZU9","sp_v3_real2","3GGAI1SQEVZOU5B0NVZZCAZATR3CMV","0","0","3","4","5","0","0","31","2","0","27","191028","0","93","2017-06-21 18:27:24","9959"
"A3KT7FHYY6PF2P","sp_v3_real2","3OSWBBLG1EY9T9GI1YWJ7XXQLVZXD0","1","1","3","3","4","0","0","27","1","14","152","306","0","-39","2017-06-21 18:27:24","9960"
