"subject","version","assignmentId","role","orderCond","s","c","p","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","38","2","16","129","297","1","-48","2017-06-21 15:52:04","5441"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","45","2","14","180","900","0","20","2017-06-21 15:52:07","5442"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","34","2","6","174","306","1","-4","2017-06-21 15:52:08","5443"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","40","2","2","226","671","1","-50","2017-06-21 15:52:08","5444"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","39","2","17","125","430","1","-51","2017-06-21 15:52:11","5445"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","1","0","1","200","1616","0","0","2017-06-21 15:52:13","5446"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","35","2","7","172","46","1","-2","2017-06-21 15:52:14","5447"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","41","2","3","224","90","1","-48","2017-06-21 15:52:14","5448"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","46","2","15","180","2007","0","20","2017-06-21 15:52:15","5449"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","40","2","18","121","390","1","-54","2017-06-21 15:52:17","5450"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","42","2","4","222","80","1","-46","2017-06-21 15:52:20","5451"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","36","2","8","170","155","1","0","2017-06-21 15:52:20","5452"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","31","2","0","200","1912","0","0","2017-06-21 15:52:20","5453"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","47","2","16","180","1171","0","20","2017-06-21 15:52:22","5454"
"AE608VRXK6M2E","sp_v3_pilot2","3QJOXOW4XJS3R3VEJM5U2YZDE33EMD","0","0","1","3","5","2","0","2","0","2","200","1905","0","0","2017-06-21 15:52:23","5455"
"ADMTRXEG43HU0","sp_v3_pilot2","3ZPBJO59KP2C7JG3WUEX4B9WX53HDE","1","1","3","1","6","2","1","41","2","19","117","394","1","-57","2017-06-21 15:52:24","5456"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","43","2","5","220","47","1","-44","2017-06-21 15:52:26","5457"
"A2CNXQG6YYHTDF","sp_v3_pilot2","39O5D9O87TTN8J3QHDUKGBQ4T09C32","0","0","1","4","3","1","0","32","2","1","200","500","0","0","2017-06-21 15:52:28","5458"
"A1EKUJGMFDI1RZ","sp_v3_pilot2","3Q8GYXHFEP3QMYQUVWIDV8OO7W0C5S","1","1","2","4","6","2","0","37","2","9","168","273","1","2","2017-06-21 15:52:28","5459"
"A2BVUVKIS50IR8","sp_v3_pilot2","379J5II41OHJLLDTJA4F2LKOEYDELB","0","0","1","1","3","1","0","48","2","17","180","1093","0","20","2017-06-21 15:52:30","5460"
"A3RO90I4O8I0O2","sp_v3_pilot2","338JKRMM260E9CDRCKNVEA1QC26HAC","1","1","2","2","6","2","0","44","2","6","218","32","1","-42","2017-06-21 15:52:31","5461"
