"subject","version","assignmentId","role","stealCond","punCond","oppType","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","2","0","2","97","1013","1","3","2017-05-30 00:25:14","13109"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","1","1","-1","2","1","12","1","4","83","262","1","-13","2017-05-30 00:25:15","13111"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","20","2","2","97","879","0","-2","2017-05-30 00:25:19","13113"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","3","0","3","96","647","1","4","2017-05-30 00:25:21","13115"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","0","0","-1","2","0","3","0","3","97","1962","0","-2","2017-05-30 00:25:23","13117"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","21","2","3","97","686","0","-2","2017-05-30 00:25:27","13118"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","4","0","4","95","871","1","5","2017-05-30 00:25:28","13121"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","0","0","-1","2","0","4","0","4","97","1981","0","-2","2017-05-30 00:25:32","13125"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","22","2","4","97","1070","0","-2","2017-05-30 00:25:34","13127"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","5","0","5","94","533","1","6","2017-05-30 00:25:34","13128"
"A2MUCL20GTQJA0","sp_v2_s","3VBEN272MK049C4A9ER4EAJVHSWSGI","0","1","-1","2","0","13","2","0","83","1141","0","-13","2017-05-30 00:25:39","13132"
"A20HZD952T4B2O","sp_v2_s","3YHH42UU5BGKUVYZB350HWIKIHZL0U","0","0","-1","2","0","5","0","5","97","2516","0","-2","2017-05-30 00:25:41","13133"
"A1MN2PWAV10VAB","sp_v2_s","3OS4RQUCR9GZEQRDN8ZR609JCPAFB5","1","0","-1","2","0","6","0","6","93","575","1","7","2017-05-30 00:25:41","13134"
"A40LU73SS18IW","sp_v2_s","3S4AW7T80BJ1TJG0U4S2TZ8XZTG4LU","0","1","-1","2","0","23","2","5","97","852","0","-2","2017-05-30 00:25:43","13136"
