"subject","version","assignmentId","role","punCostly","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","13","0","13","180","468","1","-100","2017-05-26 17:15:01","144"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","1","1","1","1","14","0","14","160","1938","1","-120","2017-05-26 17:15:09","145"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","0","1","0","1","15","1","0","140","5127","1","-140","2017-05-26 17:15:32","146"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","0","1","0","1","16","1","1","150","419","0","-150","2017-05-26 17:15:39","147"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","0","1","0","1","17","1","2","160","525","0","-160","2017-05-26 17:19:05","148"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","0","1","0","1","18","1","3","170","2123","0","-170","2017-05-26 17:19:14","149"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","0","1","0","0","19","1","4","170","3959","0","-170","2017-05-26 17:19:24","150"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","0","1","0","0","20","1","5","170","467","0","-170","2017-05-26 17:19:31","151"
"A3UTFL5JHRQCM1","sp_v1","3E1QT0TDFPA0MJVWL4L2IVWAK6G8IF","0","1","0","0","21","1","6","170","826","0","-170","2017-05-26 17:19:38","152"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","0","0","0","389","3504","1","-20","2017-05-26 17:23:01","153"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","1","0","1","378","1233","1","-40","2017-05-26 17:23:12","154"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","2","0","2","367","760","1","-60","2017-05-26 17:23:22","155"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","3","0","3","356","377","1","-80","2017-05-26 17:23:34","156"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","4","0","4","345","488","1","-100","2017-05-26 17:23:43","157"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","5","0","5","334","335","1","-120","2017-05-26 17:23:48","158"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","6","0","6","323","317","1","-140","2017-05-26 17:23:55","159"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","7","0","7","312","409","1","-160","2017-05-26 17:24:04","160"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","8","0","8","301","426","1","-180","2017-05-26 17:24:10","161"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","9","0","9","290","359","1","-200","2017-05-26 17:24:17","162"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","10","0","10","279","296","1","-220","2017-05-26 17:24:25","163"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","11","0","11","268","459","1","-240","2017-05-26 17:24:33","164"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","12","0","12","257","466","1","-260","2017-05-26 17:24:39","165"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","13","0","13","246","973","1","-280","2017-05-26 17:24:47","166"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","1","0","1","1","14","0","14","235","495","1","-300","2017-05-26 17:24:54","167"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","0","0","0","0","15","1","0","235","2901","0","-300","2017-05-26 17:25:13","168"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","0","0","0","0","16","1","1","235","625","0","-300","2017-05-26 17:25:20","169"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","0","0","0","0","17","1","2","235","556","0","-300","2017-05-26 17:25:27","170"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","0","0","0","0","18","1","3","235","413","0","-300","2017-05-26 17:25:47","171"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","0","0","0","0","19","1","4","235","3400","0","-300","2017-05-26 17:25:58","172"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","0","0","0","0","20","1","5","235","682","0","-300","2017-05-26 17:26:04","173"
"A3RIBFIB7C8D20","sp_v1","3MTMREQS4VJW628G7J9VFDBDP5EAWS","0","0","0","0","21","1","6","235","445","0","-300","2017-05-26 17:26:12","174"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","0","0","0","380","3312","1","-20","2017-05-26 17:26:35","175"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","1","0","1","360","798","1","-40","2017-05-26 17:26:43","176"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","2","0","2","340","379","1","-60","2017-05-26 17:26:51","177"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","3","0","3","320","421","1","-80","2017-05-26 17:26:58","178"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","4","0","4","300","243","1","-100","2017-05-26 17:27:05","179"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","5","0","5","280","350","1","-120","2017-05-26 17:27:12","180"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","6","0","6","260","565","1","-140","2017-05-26 17:27:19","181"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","7","0","7","240","591","1","-160","2017-05-26 17:27:26","182"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","8","0","8","220","295","1","-180","2017-05-26 17:27:32","183"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","9","0","9","200","77","1","-200","2017-05-26 17:27:38","184"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","10","0","10","180","291","1","-220","2017-05-26 17:27:44","185"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","11","0","11","160","358","1","-240","2017-05-26 17:27:51","186"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","12","0","12","140","876","1","-260","2017-05-26 17:27:58","187"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","13","0","13","120","1190","1","-280","2017-05-26 17:28:06","188"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","1","1","1","1","14","0","14","100","523","1","-300","2017-05-26 17:28:13","189"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","0","1","0","0","15","1","0","100","1220","0","-300","2017-05-26 17:28:29","190"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","0","1","0","0","16","1","1","100","312","0","-300","2017-05-26 17:28:35","191"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","0","1","0","0","17","1","2","100","317","0","-300","2017-05-26 17:28:41","192"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","0","1","0","0","18","1","3","100","216","0","-300","2017-05-26 17:28:47","193"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","0","1","0","0","19","1","4","100","320","0","-300","2017-05-26 17:28:53","194"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","0","1","0","0","20","1","5","100","442","0","-300","2017-05-26 17:29:00","195"
"A1F9KLZGHE9DTA","sp_v1","384PI804XS27Y8TPVC21TIWFA660SC","0","1","0","0","21","1","6","100","1156","0","-300","2017-05-26 17:29:07","196"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","0","0","0","389","9329","1","-20","2017-05-26 17:30:04","197"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","1","0","1","378","1748","1","-40","2017-05-26 17:30:15","198"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","2","0","2","367","1225","1","-60","2017-05-26 17:30:26","199"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","3","0","3","356","1226","1","-80","2017-05-26 17:30:34","200"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","4","0","4","345","260","1","-100","2017-05-26 17:30:43","201"
"A3QAHF4UUBM7ZO","sp_v1","3AZHRG4CU4L3ER8A5X10LAO3IQ730N","1","0","1","1","5","0","5","334","2070","1","-120","2017-05-26 17:30:54","202"
