"subject","version","assignmentId","role","stealCond","punCond","oppPersistent","choice","globalRound","matchNum","matchRound","score","rt","oppChoice","oppScore","stamp","id"
"A13WGKUTP5127J","sp_v2","3GM6G9ZBKNY5GMDB9HUP1KZEFW4MTP","0","0","1","1","1","2","0","2","97","1672","1","-3","2017-05-29 18:44:44","1533"
"A2TVJTQ4VXATE6","sp_v2","3WMOAN2SRBYQBW20QD94FHCZH7UNV6","1","0","0","1","0","0","0","0","99","6705","1","1","2017-05-29 18:44:44","1534"
"A2541C8MY0BYV3","sp_v2","3IGI0VL647LVLCT3P1NQKPIRLEXNO4","0","0","0","1","1","7","0","7","76","419","1","-16","2017-05-29 18:44:44","1535"
"AGDJB8B8CDZ71","sp_v2","3GU1KF0O4I2B53G71BVWIUNNEUFBPK","0","1","0","1","0","5","0","5","100","353","0","0","2017-05-29 18:44:45","1536"
"A3RHGIM99R25Q9","sp_v2","3NQL1CS15R9KNV6EXFIFWXA6LRYYV7","1","0","0","1","0","3","0","3","96","366","1","4","2017-05-29 18:44:45","1537"
"A326ZLFMYPKTSR","sp_v2","3I3WADAZ9Q5RVNNXL1R4Q8I5UTXO5F","1","1","1","1","0","0","0","0","98","30412","1","2","2017-05-29 18:44:46","1538"
"A4IH4CO046EV3","sp_v2","3M81GAB8A0KW5FHM1OALIZDXJQ1BQB","0","1","0","1","1","7","0","7","96","1176","1","-6","2017-05-29 18:44:47","1539"
"A39VDI1CVOMMIN","sp_v2","3YMU66OBIN9FJ3QUYKF5AWCT8GXHG2","1","1","0","1","0","7","0","7","84","445","1","16","2017-05-29 18:44:47","1540"
"ALYR5CI2SM2JC","sp_v2","3TVSS0C0E111LY7PDJ0CAI15DYIWTQ","0","0","1","1","0","1","0","1","100","1703","0","0","2017-05-29 18:44:47","1541"
"A33AZCOKCCTUXV","sp_v2","3DYGAII7PL9Y99IWKTSMDJIM0UGQPB","1","0","1","1","1","2","0","2","91","342","1","-9","2017-05-29 18:44:47","1542"
"A3BGIK3STL9345","sp_v2","31JLPPHS2UVOH80T7I3BBBKLGX6O3P","1","0","0","1","1","1","0","1","97","6000","1","-2","2017-05-29 18:44:47","1543"
"A1E7H04DK5HXDL","sp_v2","39ZSFO5CA8XUFRMF6P77QOTZUGGUJK","1","1","1","1","0","0","0","0","98","5586","1","2","2017-05-29 18:44:48","1544"
"A2S5GPVIUV8RJI","sp_v2","358UUM7WRZ49F4TW1MN5IN16WMCR76","0","0","1","1","1","0","0","0","97","5860","1","-3","2017-05-29 18:44:49","1545"
"A33NK36A94Y75Y","sp_v2","338JKRMM260E9CDRCKNVEA1QALKHAQ","0","0","0","1","0","9","0","9","91","510","0","-6","2017-05-29 18:44:49","1546"
"A21UA6O7ZFAIQJ","sp_v2","3MD9PLUKKIF7KG7ARAY70NPV5I0NZ6","1","0","1","1","1","6","0","6","79","377","1","-21","2017-05-29 18:44:49","1547"
"A1X5IZPCRLL0Z7","sp_v2","3QFUFYSY9YGFTR648TP4YM3D2WC4F5","0","1","1","1","0","7","0","7","100","660","0","0","2017-05-29 18:44:50","1548"
"A39Q4SNT7SRK94","sp_v2","32KTQ2V7RDGMW74XBBP8AKY2LP1M9P","0","0","1","1","0","9","0","9","100","840","0","0","2017-05-29 18:44:50","1549"
"A2GB0RI43KU4Z","sp_v2","379J5II41OHJLLDTJA4F2LKOCHRELP","0","1","1","1","0","5","0","5","100","1105","0","0","2017-05-29 18:44:51","1550"
"A1H162QMRV01SA","sp_v2","3SPJ0334214BW06KGQ4WT9ZCQ4RYJM","0","1","0","1","0","1","0","1","98","2498","0","-3","2017-05-29 18:44:51","1551"
"A5BEH1IONAYMB","sp_v2","3L4D84MILZTPA5GV6Q08794908EHJ6","1","0","0","1","0","4","0","4","92","1388","1","-7","2017-05-29 18:44:51","1552"
